,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
64,64,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,771427.0,5093.0,480181,38.982,0.01404,2.114,19.999,16.006,19.999,872441,1934609,4744590,9999358,17550998,872441,1934609,9999358,4744590,0.95861095
65,65,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,863926.0,6037.0,537671,38.978,0.01862,2.113,20.003,15.992,20.001,872838,1929145,4748678,10000717,17551378,872838,1929145,10000717,4748678,0.958328
67,67,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,784444.0,5129.0,73790,38.988,0.01453,2.115,19.994,15.998,20.001,873377,1933281,4743500,10000590,17550748,873377,1933281,10000590,4743500,0.95854205
68,68,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,822834.0,5476.0,391863,39.031,0.0161,2.12,20.007,16.003,20.003,875782,1930249,4743250,10001600,17550881,875782,1930249,10001600,4743250,0.95899343
69,69,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,820987.0,5493.0,671936,38.997,0.01616,2.12,19.991,15.999,19.995,875670,1926650,4744225,9997409,17543954,875670,1926650,9997409,4744225,0.9589252
77,77,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,820004.0,5418.0,473076,39.068,0.01597,2.116,20.004,16.002,19.999,874620,1933014,4747699,9999343,17554676,874620,1933014,9999343,4747699,0.9595523
80,80,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,805643.0,5459.0,479799,38.988,0.01534,2.114,20.017,16.001,20.001,872897,1936079,4740948,10000463,17550387,872897,1936079,10000463,4740948,0.95840615
83,83,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,816292.0,5442.0,837165,39.004,0.01587,2.116,19.987,15.999,20.0,872249,1930572,4747973,10000046,17550840,872249,1930572,10000046,4747973,0.9588863
88,88,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,814098.0,5409.0,367990,38.969,0.01575,2.113,20.003,16.0,20.0,872349,1934523,4749329,9999767,17555968,872349,1934523,9999767,4749329,0.95854133
89,89,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,799984.0,5357.0,627271,39.021,0.01513,2.115,20.011,15.996,20.001,873569,1929579,4746356,10000643,17550147,873569,1929579,10000643,4746356,0.95899093
