,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
8,8,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,852408.0,1829.0,752852,29.422,0.01808,3.449,20.01,16.01,20.001,1662255,2725339,4353815,10000396,18741805,1662255,2725339,10000396,4353815,0.8245272
9,9,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,837968.0,1825.0,561563,29.433,0.01716,3.443,19.977,16.005,20.0,1659230,2725148,4348479,10000139,18732996,1659230,2725148,10000139,4348479,0.8245298
17,17,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,830683.0,1799.0,69993,29.407,0.01673,3.439,20.004,16.0,19.998,1657540,2733728,4343079,9999218,18733565,1657540,2733728,9999218,4343079,0.8241874
19,19,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,810932.0,1767.0,537384,29.385,0.01569,3.448,19.985,15.998,20.007,1661712,2733322,4337278,10003448,18735760,1661712,2733322,10003448,4337278,0.82392883
23,23,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,857685.0,1893.0,688577,29.39,0.01854,3.444,20.008,16.004,19.993,1660271,2737700,4336483,9996483,18730937,1660271,2737700,9996483,4336483,0.82393104
29,29,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,779956.0,1692.0,484720,29.405,0.01428,3.448,20.006,15.985,20.001,1661214,2727799,4344085,10000392,18733490,1661214,2727799,10000392,4344085,0.8243972
31,31,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953620.0,2436.0,783422,26.788,0.03457,3.886,20.008,16.004,20.006,1900047,3448194,3739181,10002853,19090275,1900047,3448194,10002853,3739181,0.80431
35,35,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,956570.0,2348.0,831898,26.727,0.03621,3.887,20.009,16.003,20.003,1899980,3454725,3735949,10001699,19092353,1899980,3454725,10001699,3735949,0.80365616
39,39,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,962319.0,2399.0,18473,26.765,0.03906,3.886,20.008,15.997,20.005,1899484,3447472,3741106,10002565,19090627,1899484,3447472,10002565,3741106,0.8041406
51,51,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,957162.0,2452.0,422082,26.789,0.03606,3.892,19.999,15.991,20.0,1902662,3449887,3732898,9999976,19085423,1902662,3449887,9999976,3732898,0.8043285
