,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
1,1,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,857116.0,1905.0,411553,29.42,0.01843,3.452,20.012,15.998,19.997,1663159,2733810,4347048,9998654,18742671,1663159,2733810,9998654,4347048,0.82473606
3,3,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,772300.0,1736.0,525718,29.391,0.01396,3.448,20.006,15.997,19.994,1661845,2729426,4346684,9997229,18735184,1661845,2729426,9997229,4346684,0.82427555
4,4,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,814736.0,1822.0,657947,29.395,0.01586,3.44,20.001,16.003,19.997,1657178,2732380,4341776,9998338,18729672,1657178,2732380,9998338,4341776,0.8241373
5,5,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,761668.0,1597.0,564440,29.406,0.01354,3.447,19.997,15.999,20.001,1661591,2732810,4346655,10000277,18741333,1661591,2732810,10000277,4346655,0.8242202
6,6,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,781955.0,1683.0,919777,29.481,0.01427,3.455,20.007,15.993,19.996,1664836,2718164,4355839,9998101,18736940,1664836,2718164,9998101,4355839,0.8254676
7,7,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,827665.0,1861.0,656631,29.398,0.01655,3.447,19.992,16.006,19.999,1660705,2728609,4347712,9999359,18736385,1660705,2728609,9999359,4347712,0.8241855
8,8,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,852408.0,1829.0,752852,29.422,0.01808,3.449,20.01,16.01,20.001,1662255,2725339,4353815,10000396,18741805,1662255,2725339,10000396,4353815,0.8245272
11,11,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,838398.0,1881.0,928257,29.428,0.0172,3.447,20.004,16.003,20.01,1661551,2736434,4339075,10005202,18742262,1661551,2736434,10005202,4339075,0.8246926
12,12,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,828015.0,1789.0,789707,29.387,0.01652,3.437,20.004,15.997,20.004,1656266,2735237,4342383,10001820,18735706,1656266,2735237,10001820,4342383,0.82400626
13,13,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,781568.0,1659.0,989623,29.412,0.01424,3.44,20.011,16.001,20.004,1657596,2730530,4349109,10002094,18739329,1657596,2730530,10002094,4349109,0.8244101
15,15,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,849975.0,1800.0,159411,29.404,0.01804,3.441,20.001,16.001,20.008,1658455,2732790,4344591,10003877,18739713,1658455,2732790,10003877,4344591,0.8242289
16,16,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,778302.0,1643.0,380873,29.391,0.01422,3.45,20.008,15.999,19.998,1662822,2732868,4343587,9998807,18738084,1662822,2732868,9998807,4343587,0.8239966
17,17,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,830683.0,1799.0,69993,29.407,0.01673,3.439,20.004,16.0,19.998,1657540,2733728,4343079,9999218,18733565,1657540,2733728,9999218,4343079,0.8241874
18,18,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,872182.0,1967.0,680145,29.391,0.01976,3.446,19.987,16.007,20.007,1660444,2731471,4343533,10003273,18738721,1660444,2731471,10003273,4343533,0.8241149
20,20,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,712321.0,1487.0,591334,29.401,0.01211,3.449,19.989,15.993,19.997,1662051,2727885,4345675,9998550,18734161,1662051,2727885,9998550,4345675,0.8242575
21,21,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,860832.0,1904.0,378987,29.418,0.01881,3.449,19.998,16.002,19.991,1662474,2730370,4351736,9995465,18740045,1662474,2730370,9995465,4351736,0.8246603
23,23,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,857685.0,1893.0,688577,29.39,0.01854,3.444,20.008,16.004,19.993,1660271,2737700,4336483,9996483,18730937,1660271,2737700,9996483,4336483,0.82393104
24,24,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,819000.0,1816.0,936686,29.373,0.01606,3.443,19.993,15.999,19.991,1659453,2730019,4343751,9995684,18728907,1659453,2730019,9995684,4343751,0.8237505
25,25,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,811485.0,1779.0,651734,29.393,0.01564,3.448,20.002,16.003,20.004,1661538,2735603,4339119,10002241,18738501,1661538,2735603,10002241,4339119,0.8238843
