,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
4127,4127,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,959779.0,7136.0,281629,41.398,0.03505,2.161,19.983,15.994,19.996,902451,1654637,4817992,9997802,17372882,902451,1654637,9997802,4817992,0.9787415
1660,1660,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,924313.0,976.0,409643,21.501,0.03263,3.896,19.994,15.991,19.996,1905497,4050731,2964455,9997811,18918494,1905497,4050731,9997811,2964455,0.7130955
96,96,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,955587.0,4239.0,940940,32.505,0.03689,2.871,20.011,15.991,19.998,1336322,2716292,4251378,9999010,18303002,1336322,2716292,9999010,4251378,0.8682553
389,389,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,816794.0,6813.0,167815,41.916,0.01542,2.223,19.998,16.0,20.003,941799,1786822,4592692,10001256,17322569,941799,1786822,10001256,4592692,0.9867261
2384,2384,benin,1000000,1000,2020-01-01,2020-12-31,hybrid,938956.0,1431.0,484602,23.469,0.03297,4.257,20.01,16.006,20.0,2096078,3828640,3235107,10000033,19159858,2096078,3828640,10000033,3235107,0.7450288
2184,2184,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,690904.0,2862.0,301674,33.981,0.01121,2.965,19.989,16.006,20.003,1390921,2344603,4676157,10001655,18413336,1390921,2344603,10001655,4676157,0.88925725
3454,3454,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,937200.0,3976.0,12330,33.636,0.02696,3.221,20.005,16.006,20.01,1535477,2565259,4436588,10005145,18542469,1535477,2565259,10005145,4436588,0.88590026
4674,4674,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,914513.0,11619.0,44226,45.21,0.02389,1.884,20.02,16.001,19.997,718619,1574174,4522568,9998656,16814017,718619,1574174,9998656,4522568,1.0175431
4564,4564,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,921283.0,3263.0,644332,31.878,0.02506,3.107,19.993,15.989,19.999,1471622,2782429,4298922,9999297,18552270,1471622,2782429,9999297,4298922,0.86077
2596,2596,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,930836.0,7665.0,654336,38.04,0.02903,2.138,19.988,15.999,20.005,887941,2221136,4331968,10002456,17443501,887941,2221136,10002456,4331968,0.93768907
