,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
4603,4603,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,945616.0,3384.0,546495,31.128,0.03284,2.96,20.001,16.003,20.002,1387771,2865661,4184551,10001054,18439037,1387771,2865661,10001054,4184551,0.8557421
1050,1050,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,950429.0,3202.0,570931,33.662,0.02886,3.658,20.01,16.001,20.003,1776089,2299092,4746298,10001739,18823218,1776089,2299092,10001739,4746298,0.88341874
3196,3196,mexico,1000000,1000,2020-01-01,2020-12-31,hybrid,803793.0,3080.0,848013,32.009,0.01512,2.929,19.981,15.999,20.004,1369118,2765530,4320859,10001834,18457341,1369118,2765530,10001834,4320859,0.8669397
1574,1574,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,955661.0,2714.0,216412,29.306,0.03229,4.0,20.003,16.003,19.992,1959967,3023996,4140523,9996184,19120670,1959967,3023996,9996184,4140523,0.8352807
3638,3638,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,908935.0,5730.0,136579,37.012,0.0259,2.036,20.016,16.001,19.99,821518,2402251,4304490,9994971,17523230,821518,2402251,9994971,4304490,0.9142779
717,717,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,958478.0,1386.0,407466,26.236,0.03468,4.481,19.998,16.005,20.0,2214056,3453973,3770667,10000196,19438892,2214056,3453973,10000196,3770667,0.789124
1304,1304,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,902742.0,1327.0,844221,23.263,0.02845,3.233,19.999,16.007,19.995,1542307,3885165,3243251,9997375,18668098,1542307,3885165,9997375,3243251,0.7449076
1239,1239,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,961621.0,11744.0,528443,45.411,0.03449,2.048,19.995,15.996,20.006,828934,1537311,4532396,10003086,16901727,828934,1537311,10003086,4532396,1.0217607
525,525,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,779154.0,1826.0,400768,28.588,0.01475,3.347,19.994,16.005,20.006,1606044,2960599,4083459,10002759,18652861,1606044,2960599,10002759,4083459,0.8150705
3977,3977,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,934624.0,1812.0,783633,27.231,0.02798,3.818,19.991,16.01,20.001,1862750,3359254,3930935,10000602,19153541,1862750,3359254,10000602,3930935,0.8067842
4661,4661,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,933721.0,11840.0,389111,45.236,0.02727,1.89,20.002,16.001,20.003,720720,1561893,4521564,10001268,16805445,720720,1561893,10001268,4521564,1.0179621
3030,3030,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,946798.0,8493.0,601401,41.826,0.03224,1.894,19.991,15.998,20.0,724923,1742944,4603443,9999878,17071188,724923,1742944,9999878,4603443,0.98447084
4033,4033,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,911449.0,8755.0,473677,42.745,0.02537,1.733,19.988,16.001,20.001,611159,1789685,4444156,10000495,16845495,611159,1789685,10000495,4444156,0.99127007
2201,2201,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,883772.0,964.0,742128,24.007,0.02527,2.839,20.0,15.995,19.996,1318163,3773979,3513676,9998139,18603957,1318163,3773979,9998139,3513676,0.76270485
4036,4036,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,918071.0,8974.0,804120,42.738,0.0264,1.733,20.017,16.004,20.005,611523,1795810,4441537,10002388,16851258,611523,1795810,10002388,4441537,0.9912777
4035,4035,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,925291.0,9042.0,745569,42.793,0.02774,1.738,19.994,15.998,19.99,614347,1788936,4440588,9994871,16838742,614347,1788936,9994871,4440588,0.9916841
3455,3455,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,936221.0,3979.0,965382,33.683,0.02656,3.215,20.003,16.001,19.999,1533021,2561621,4434932,9999510,18529084,1533021,2561621,9999510,4434932,0.8867845
4051,4051,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959190.0,4247.0,357702,33.96,0.03554,2.743,20.007,16.004,20.002,1261950,2519326,4534214,10000834,18316324,1261950,2519326,10000834,4534214,0.89624965
