,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
194,194,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,808825.0,2060.0,137688,27.937,0.01506,3.576,19.997,16.0,20.008,1732354,3276986,3983907,10003782,18997029,1732354,3276986,10003782,3983907,0.82252425
4671,4671,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,925326.0,11769.0,289874,45.22,0.0256,1.884,19.995,15.996,20.006,719186,1568893,4520662,10003213,16811954,719186,1568893,10003213,4520662,1.0177826
2111,2111,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,939873.0,1907.0,192168,26.544,0.02427,5.826,20.002,16.012,20.002,2903807,3389675,3752276,10001185,20046943,2903807,3389675,10001185,3752276,0.79480237
1801,1801,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,806963.0,1139.0,301544,22.284,0.01848,3.484,20.008,15.999,19.999,1681632,4015295,3056067,9999285,18752279,1681632,4015295,9999285,3056067,0.7289619
1117,1117,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,956262.0,10294.0,559806,42.822,0.03748,1.787,20.007,16.002,19.997,649440,1685430,4498112,9998729,16831711,649440,1685430,9998729,4498112,0.9911803
3422,3422,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,913018.0,10613.0,316867,44.339,0.0254,1.751,19.994,16.01,20.0,624803,1853360,4275989,10000057,16754209,624803,1853360,10000057,4275989,1.0014406
1659,1659,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,920005.0,955.0,170174,21.523,0.03151,3.893,19.995,15.997,20.003,1903315,4051691,2973358,10001251,18929615,1903315,4051691,10001251,2973358,0.7136994
3916,3916,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,939629.0,1345.0,954814,23.967,0.033,4.028,19.994,15.997,20.001,1975679,3764713,3378110,10000639,19119141,1975679,3764713,10000639,3378110,0.7557998
2826,2826,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,937153.0,2351.0,689360,29.147,0.02932,3.358,20.002,16.0,20.0,1612099,3106874,4076429,9999815,18795217,1612099,3106874,9999815,4076429,0.83097476
676,676,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,916093.0,916.0,622521,21.852,0.02811,4.192,20.0,16.012,19.991,2062205,4058073,3092643,9995424,19208345,2062205,4058073,9995424,3092643,0.7260149
